tool,description,href,toolbox,toolset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Location Referencing toolbox,Overlay Events
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Location Referencing toolbox,Overlay Events
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Location Referencing toolbox,Overlay Events
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Location Referencing toolbox,Overlay Events
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Location Referencing toolbox,Overlay Events
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Location Referencing toolbox,Overlay Events
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Location Referencing toolbox,Overlay Events
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Location Referencing toolbox,Overlay Events
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Location Referencing toolbox,Update Measures From LRS
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Location Referencing toolbox,Update Measures From LRS
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Location Referencing toolbox,Update Measures From LRS
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Location Referencing toolbox,Update Measures From LRS
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Location Referencing toolbox,Update Measures From LRS
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Location Referencing toolbox,Update Measures From LRS
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Location Referencing toolbox,Update Measures From LRS
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Location Referencing toolbox,Update Measures From LRS
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Location Referencing toolbox,Update Measures From LRS
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Location Referencing toolbox,Update Measures From LRS
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Location Referencing toolbox,Update Measures From LRS
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Location Referencing toolbox,Update Measures From LRS
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Location Referencing toolbox,Update Measures From LRS
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Location Referencing toolbox,Update Measures From LRS
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Location Referencing toolbox,Update Measures From LRS
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Location Referencing toolbox,Update Measures From LRS
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Location Referencing toolbox,Update Measures From LRS
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Location Referencing toolbox,Update Measures From LRS
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Network Analyst toolbox,Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Network Analyst toolbox,Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Network Analyst toolbox,Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Network Analyst toolbox,Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Network Analyst toolbox,Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Network Analyst toolbox,Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Network Analyst toolbox,Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Network Analyst toolbox,Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Network Analyst toolbox,Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Network Analyst toolbox,Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Network Analyst toolbox,Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Network Analyst toolbox,Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Network Analyst toolbox,Network Dataset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Network Analyst toolbox,Network Dataset
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Network Analyst toolbox,Network Dataset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Network Analyst toolbox,Network Dataset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Network Analyst toolbox,Network Dataset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Network Analyst toolbox,Network Dataset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Network Analyst toolbox,Turn Feature Class
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Network Analyst toolbox,Turn Feature Class
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Network Analyst toolbox,Turn Feature Class
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Network Analyst toolbox,Turn Feature Class
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Network Analyst toolbox,Turn Feature Class
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Network Analyst toolbox,Turn Feature Class
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Raster Analysis toolbox,Analyze Patterns
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Raster Analysis toolbox,Analyze Patterns
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Raster Analysis toolbox,Analyze Patterns
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Raster Analysis toolbox,Analyze Patterns
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Raster Analysis toolbox,Analyze Patterns
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Raster Analysis toolbox,Analyze Patterns
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Raster Analysis toolbox,Analyze Terrain
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Raster Analysis toolbox,Analyze Terrain
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Raster Analysis toolbox,Analyze Terrain
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Raster Analysis toolbox,Analyze Terrain
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Raster Analysis toolbox,Analyze Terrain
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Raster Analysis toolbox,Analyze Terrain
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Raster Analysis toolbox,Deep Learning
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Raster Analysis toolbox,Deep Learning
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Raster Analysis toolbox,Deep Learning
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Raster Analysis toolbox,Deep Learning
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Raster Analysis toolbox,Deep Learning
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Raster Analysis toolbox,Deep Learning
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Raster Analysis toolbox,Generalize
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Raster Analysis toolbox,Generalize
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Raster Analysis toolbox,Generalize
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Raster Analysis toolbox,Generalize
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Raster Analysis toolbox,Generalize
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Raster Analysis toolbox,Generalize
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Raster Analysis toolbox,Hydrology
